M,N,K
1,100,5120
16,100,5120
32,100,5120
64,100,5120
128,100,5120
256,100,5120
512,100,5120
1024,100,5120
2048,100,5120
4096,100,5120
8192,100,5120
16384,100,5120
32768,100,5120

1,200,5120
16,200,5120
32,200,5120
64,200,5120
128,200,5120
256,200,5120
512,200,5120
1024,200,5120
2048,200,5120
4096,200,5120
8192,200,5120
16384,200,5120
32768,200,5120

1,800,5120
16,800,5120
32,800,5120
64,800,5120
128,800,5120
256,800,5120
512,800,5120
1024,800,5120
2048,800,5120
4096,800,5120
8192,800,5120
16384,800,5120
32768,800,5120

1,5120,640
16,5120,640
32,5120,640
64,5120,640
128,5120,640
256,5120,640
512,5120,640
1024,5120,640
2048,5120,640
4096,5120,640
8192,5120,640
16384,5120,640
32768,5120,640

1,5120,1280
16,5120,1280
32,5120,1280
64,5120,1280
128,5120,1280
256,5120,1280
512,5120,1280
1024,5120,1280
2048,5120,1280
4096,5120,1280
8192,5120,1280
16384,5120,1280
32768,5120,1280

1,5120,5120
16,5120,5120
32,5120,5120
64,5120,5120
128,5120,5120
256,5120,5120
512,5120,5120
1024,5120,5120
2048,5120,5120
4096,5120,5120
8192,5120,5120
16384,5120,5120
32768,5120,5120

1,6400,5120
16,6400,5120
32,6400,5120
64,6400,5120
128,6400,5120
256,6400,5120
512,6400,5120
1024,6400,5120
2048,6400,5120
4096,6400,5120
8192,6400,5120
16384,6400,5120
32768,6400,5120

1,12800,5120
16,12800,5120
32,12800,5120
64,12800,5120
128,12800,5120
256,12800,5120
512,12800,5120
1024,12800,5120
2048,12800,5120
4096,12800,5120
8192,12800,5120
16384,12800,5120
32768,12800,5120

1,51200,5120
16,51200,5120
32,51200,5120
64,51200,5120
128,51200,5120
256,51200,5120
512,51200,5120
1024,51200,5120
2048,51200,5120
4096,51200,5120
8192,51200,5120
16384,51200,5120
32768,51200,5120

1,5120,3200
16,5120,3200
32,5120,3200
64,5120,3200
128,5120,3200
256,5120,3200
512,5120,3200
1024,5120,3200
2048,5120,3200
4096,5120,3200
8192,5120,3200
16384,5120,3200
32768,5120,3200

1,5120,6400
16,5120,6400
32,5120,6400
64,5120,6400
128,5120,6400
256,5120,6400
512,5120,6400
1024,5120,6400
2048,5120,6400
4096,5120,6400
8192,5120,6400
16384,5120,6400
32768,5120,6400

1,5120,25600
16,5120,25600
32,5120,25600
64,5120,25600
128,5120,25600
256,5120,25600
512,5120,25600
1024,5120,25600
2048,5120,25600
4096,5120,25600
8192,5120,25600
16384,5120,25600
32768,5120,25600
